"REPORT_DAT","num_crime","Crime_rate"
"2018/01/25",98,688.4059
"2018/01/26",72,505.7676
"2018/01/27",87,611.13585
"2018/01/28",80,561.964
"2018/01/29",82,576.0131
"2018/01/30",102,716.5041
"2018/01/31",69,484.69395
"2018/02/01",67,470.64485
"2018/02/02",75,526.84125
"2018/02/03",71,498.74305
"2018/02/04",64,449.5712
"2018/02/05",67,470.64485
"2018/02/06",83,583.03765
"2018/02/07",67,470.64485
"2018/02/08",87,611.13585
"2018/02/09",78,547.9149
"2018/02/10",86,604.1113
"2018/02/11",71,498.74305
"2018/02/12",72,505.7676
"2018/02/13",79,554.93945
"2018/02/14",78,547.9149
"2018/02/15",85,597.08675
"2018/02/16",77,540.89035
"2018/02/17",94,660.3077
"2018/02/18",62,435.5221
"2018/02/19",63,442.54665
"2018/02/20",91,639.23405
"2018/02/21",101,709.47955
"2018/02/22",79,554.93945
"2018/02/23",75,526.84125
"2018/02/24",79,554.93945
"2018/02/25",73,512.79215
"2018/02/26",93,653.28315
"2018/02/27",80,561.964
"2018/02/28",87,611.13585
"2018/03/01",85,597.08675
"2018/03/02",80,561.964
"2018/03/03",77,540.89035
"2018/03/04",61,428.49755
"2018/03/05",67,470.64485
"2018/03/06",65,456.59575
"2018/03/07",74,519.8167
"2018/03/08",74,519.8167
"2018/03/09",71,498.74305
"2018/03/10",75,526.84125
"2018/03/11",81,568.98855
"2018/03/12",88,618.1604
"2018/03/13",67,470.64485
"2018/03/14",81,568.98855
"2018/03/15",77,540.89035
"2018/03/16",73,512.79215
"2018/03/17",75,526.84125
"2018/03/18",72,505.7676
"2018/03/19",80,561.964
"2018/03/20",96,674.3568
"2018/03/21",59,414.44845
"2018/03/22",59,414.44845
"2018/03/23",73,512.79215
"2018/03/24",83,583.03765
"2018/03/25",73,512.79215
"2018/03/26",77,540.89035
"2018/03/27",69,484.69395
"2018/03/28",85,597.08675
"2018/03/29",85,597.08675
"2018/03/30",81,568.98855
"2018/03/31",74,519.8167
"2018/04/01",79,554.93945
"2018/04/02",69,484.69395
"2018/04/03",92,646.2586
"2018/04/04",89,625.18495
"2018/04/05",71,498.74305
"2018/04/06",83,583.03765
"2018/04/07",87,611.13585
"2018/04/08",63,442.54665
"2018/04/09",90,632.2095
"2018/04/10",82,576.0131
"2018/04/11",60,421.473
"2018/04/12",82,576.0131
"2018/04/13",83,583.03765
"2018/04/14",73,512.79215
"2018/04/15",66,463.6203
"2018/04/16",79,554.93945
"2018/04/17",95,667.33225
"2018/04/18",88,618.1604
"2018/04/19",84,590.0622
"2018/04/20",74,519.8167
"2018/04/21",73,512.79215
"2018/04/22",80,561.964
"2018/04/23",99,695.43045
"2018/04/24",80,561.964
"2018/04/25",83,583.03765
"2018/04/26",75,526.84125
"2018/04/27",80,561.964
"2018/04/28",92,646.2586
"2018/04/29",69,484.69395
"2018/04/30",89,625.18495
"2018/05/01",79,554.93945
"2018/05/02",89,625.18495
"2018/05/03",74,519.8167
"2018/05/04",79,554.93945
"2018/05/05",81,568.98855
"2018/05/06",80,561.964
"2018/05/07",94,660.3077
"2018/05/08",93,653.28315
"2018/05/09",76,533.8658
"2018/05/10",91,639.23405
"2018/05/11",107,751.62685
"2018/05/12",67,470.64485
"2018/05/13",79,554.93945
"2018/05/14",89,625.18495
"2018/05/15",93,653.28315
"2018/05/16",112,786.7496
"2018/05/17",70,491.7185
"2018/05/18",74,519.8167
"2018/05/19",79,554.93945
"2018/05/20",85,597.08675
"2018/05/21",95,667.33225
"2018/05/22",108,758.6514
"2018/05/23",89,625.18495
"2018/05/24",75,526.84125
"2018/05/25",104,730.5532
"2018/05/26",110,772.7005
"2018/05/27",81,568.98855
"2018/05/28",82,576.0131
"2018/05/29",113,793.77415
"2018/05/30",81,568.98855
"2018/05/31",112,786.7496
"2018/06/01",94,660.3077
"2018/06/02",76,533.8658
"2018/06/03",78,547.9149
"2018/06/04",72,505.7676
"2018/06/05",91,639.23405
"2018/06/06",76,533.8658
"2018/06/07",87,611.13585
"2018/06/08",86,604.1113
"2018/06/09",78,547.9149
"2018/06/10",90,632.2095
"2018/06/11",99,695.43045
"2018/06/12",102,716.5041
"2018/06/13",103,723.52865
"2018/06/14",99,695.43045
"2018/06/15",104,730.5532
"2018/06/16",112,786.7496
"2018/06/17",97,681.38135
"2018/06/18",92,646.2586
"2018/06/19",79,554.93945
"2018/06/20",104,730.5532
"2018/06/21",88,618.1604
"2018/06/22",104,730.5532
"2018/06/23",123,864.01965
"2018/06/24",90,632.2095
"2018/06/25",98,688.4059
"2018/06/26",116,814.8478
"2018/06/27",116,814.8478
"2018/06/28",115,807.82325
"2018/06/29",103,723.52865
"2018/06/30",84,590.0622
"2018/07/01",89,625.18495
"2018/07/02",76,533.8658
"2018/07/03",105,737.57775
"2018/07/04",86,604.1113
"2018/07/05",86,604.1113
"2018/07/06",70,491.7185
"2018/07/07",109,765.67595
"2018/07/08",111,779.72505
"2018/07/09",104,730.5532
"2018/07/10",84,590.0622
"2018/07/11",73,512.79215
"2018/07/12",83,583.03765
"2018/07/13",112,786.7496
"2018/07/14",100,702.455
"2018/07/15",110,772.7005
"2018/07/16",119,835.92145
"2018/07/17",118,828.8969
"2018/07/18",90,632.2095
"2018/07/19",114,800.7987
"2018/07/20",116,814.8478
"2018/07/21",92,646.2586
"2018/07/22",88,618.1604
